id,latitude,longitude,australian_states_id,locality_types_id,film_weekly_cinema_types_id,street,suburb,postcode,cinema_name,exhibitor_name,capacity,shortname,description,description,helper column
130,-41.316009,148.23344,8,3,1,,Saint Helens,7216,Saint Helens,C. Saunders,250,TAS,Indoor Cinema,Rural,1
131,-41.289148,146.975476,8,3,1,,Gravelly Beach,7276,Public Hall,A. A. Lockett,200,TAS,Indoor Cinema,Rural,0
132,-41.288817,148.006679,8,3,1,,Pyengana,7216,Saint Columba,C. Saunders,85,TAS,Indoor Cinema,Rural,1
133,-41.288654,146.975892,8,3,1,,Gravelly Beach,7276,A. A. Lockett,A. A. Lockett,NULL,TAS,Indoor Cinema,Rural,0
134,-41.252734,147.215467,8,3,1,,Lilydale,7268,Public Hall,A. A. Lockett,200,TAS,Indoor Cinema,Rural,1
135,-41.24145,147.735768,8,3,1,,Ringarooma,7263,Ringarooma,M. Brown,250,TAS,Indoor Cinema,Rural,0
136,-41.241371,147.735238,8,3,3,,Ringarooma,7263,N. Brown Touring,N. Brown,NULL,TAS,Touring Circuit,Rural,1
137,-41.235369,146.410292,8,3,1,,Latrobe,7307,Capitol,Star Theatres Pty. Ltd.,250,TAS,Indoor Cinema,Rural,0
138,-41.20116,146.816842,8,3,1,,Beaconsfield,7270,Alicia,J. H. Bilson,347,TAS,Indoor Cinema,Rural,1
139,-41.18375,146.337718,8,3,2,,Devonport,7310,Starlight,Star Theatres Pty. Ltd.,500,TAS,Drive-In,Rural,0
140,-41.180556,146.346389,8,3,1,,Devonport,7310,Star,Star Theatres Pty. Ltd.,800,TAS,Indoor Cinema,Rural,1
141,-41.167634,147.741762,8,3,1,,Branxholm,7261,Charlie's Cinema,H. W. Eddy,150,TAS,Indoor Cinema,Rural,0
142,-41.166667,146.166667,8,3,1,,Ulverstone,7315,Leven,Star Theatres Pty. Ltd.,872,TAS,Indoor Cinema,Rural,1
143,-41.164151,146.553503,8,3,3,,Port Sorrell,7307,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,0
144,-41.160773,147.516925,8,3,1,,Scottsdale,7260,Lyric,A. T. Manion,600,TAS,Indoor Cinema,Rural,1
145,-41.145165,147.800253,8,3,1,,Derby,7264,Charlie's Cinema,H. W. Eddy,270,TAS,Indoor Cinema,Rural,0
146,-41.112941,146.071914,8,3,1,,Penguin,7316,Town Hall,Star Theatres Pty. Ltd.,260,TAS,Indoor Cinema,Rural,1
147,-41.106771,146.823734,8,3,1,,George Town,7253,Georgetown,Leo Wingrove,120,TAS,Indoor Cinema,Rural,0
148,-41.098657,147.826377,8,3,1,,Winneleah,7265,Public Hall,N. Brown,200,TAS,Indoor Cinema,Rural,1
149,-41.082532,147.933244,8,3,1,,Pioneer,7264,N. Brown,N. Brown,180,TAS,Indoor Cinema,Rural,0
150,-41.082496,147.933424,8,3,3,,Pioneer,7264,N. Brown Touring,N. Brown,NULL,TAS,Touring Circuit,Rural,1
151,-41.08242,147.933827,8,3,1,,Pioneer,7264,Public Hall,N. Brown,180,TAS,Indoor Cinema,Rural,0
152,-41.063611,145.891944,8,3,1,,Burnie,7320,Burnie,Star Theatres Pty. Ltd.,1000,TAS,Indoor Cinema,Rural,1
153,-41.052414,145.906837,8,3,2,,Burnie,7320,Starlight,Star Theatres Pty. Ltd.,500,TAS,Drive-In,Rural,0
154,-41.041762,145.83341,8,3,2,,Somerset,7322,Starlight,Starlight Drive-In Theatre (Burnie) Pty. Ltd.,500,TAS,Drive-In,Rural,1
155,-40.989167,145.725009,8,3,1,,Wynyard,7325,Wynyard,Star Theatres Pty. Ltd.,420,TAS,Indoor Cinema,Rural,0
156,-40.96047,148.009922,8,3,1,,Gladstone,7264,Public Hall,N. Brown,150,TAS,Indoor Cinema,Rural,1
157,-40.959963,148.009603,8,3,3,,Gladstone,7264,N. Brown Touring,N. Brown,NULL,TAS,Touring Circuit,Rural,0
158,-40.841976,145.125791,8,3,1,,Smithton,7330,M. Smith,M. Smith,NULL,TAS,Indoor Cinema,Rural,1
159,-40.841698,145.123484,8,3,1,,Smithton,7330,Claremont,Ward Bros.,250,TAS,Indoor Cinema,Rural,0
160,-40.840587,145.125073,8,3,1,,Smithton,7330,Ideal,Mrs. B. E. O'Brien,300,TAS,Indoor Cinema,Rural,1
161,-40.760463,145.294093,8,3,1,,Stanley,7331,Crystal,J. G. Smith,363,TAS,Indoor Cinema,Rural,0
162,-40.048668,144.054169,8,3,1,,"Grassy, King Island",7256,Hall,Grassy Progress Assn.,200,TAS,Indoor Cinema,Rural,1
163,-39.928242,143.85231,8,3,1,,"Currie, King Island",7256,M. Gatenby,M. Gatenby,200,TAS,Indoor Cinema,Rural,0
164,-39.030794,146.325723,7,3,1,,Tidal River,3960,Tidal River,NULL,NULL,VIC,Indoor Cinema,Rural,1
165,-39.03078,146.32571,7,3,4,,Tidal River,3960,Public Hall/ Open Air,D. G. Paine,200,VIC,Open Air Cinema,Rural,0
166,-38.748,143.67,7,3,1,,Apollo Bay,3233,Lyric,W. L. Bell,360,VIC,Indoor Cinema,Rural,1
167,-38.699688,146.463106,7,3,3,,Port Welshpool,3965,B. Cockerill,"B. Cockerill, Tours",200,VIC,Touring Circuit,Rural,0
168,-38.69424,146.082194,7,3,4,,Fish Creek,3959,Public Hall/ Open Air,D. G. Paine,200,VIC,Open Air Cinema,Rural,1
169,-38.694211,146.082197,7,3,3,,Fish Creek,3959,Lawrence Bros. Talkies,"J. W. Lawrence, 14 Holyrood St., Kew",NULL,VIC,Touring Circuit,Rural,0
170,-38.682515,143.388183,7,3,3,,Lavers Hill,3238,A. J. C. Bateman,"A. J. C. Bateman, P.O. Box 76, Colac",140,VIC,Touring Circuit,Rural,1
171,-38.665604,146.437597,7,3,3,,Welshpool,3966,T. Ahern,T. Ahern,300,VIC,Touring Circuit,Rural,0
172,-38.665572,146.688416,7,3,1,,Port Albert,3971,D. G. Paine,D. G. Paine,300,VIC,Indoor Cinema,Rural,1
173,-38.665191,146.439191,7,3,1,,Welshpool,3966,Public Hall,T. G. Ahern,220,VIC,Indoor Cinema,Rural,0
174,-38.662947,146.328186,7,3,3,,Toora,3962,Lawrence Bros. Talkies,"J. W. Lawrence, 14 Holyrood St., Kew",NULL,VIC,Touring Circuit,Rural,1
175,-38.662808,146.327902,7,3,3,,Toora,3962,T. Ahern,T. Ahern,250,VIC,Touring Circuit,Rural,0
176,-38.662,146.327,7,3,1,,Toora,3962,Mechanics,T. G. Ahearn,200,VIC,Indoor Cinema,Rural,1
177,-38.653,146.202,7,3,3,,Foster,3960,B. Cockerill,"B. Cockerill, Tours",200,VIC,Touring Circuit,Rural,0
178,-38.652573,146.201074,7,3,1,,Foster,3960,Pictures,Lawrence Bros,250,VIC,Indoor Cinema,Rural,1
179,-38.652462,146.201861,7,3,3,,Foster,3960,T. Ahern,T. Ahern,280,VIC,Touring Circuit,Rural,0
180,-38.652394,146.202311,7,3,3,,Foster,3960,Lawrence Bros. Talkies,"J. W. Lawrence, 14 Holyrood St., Kew",NULL,VIC,Touring Circuit,Rural,1
